id,title,description,type,release_year,genres,directors,actors
151,chronicle of a disappearance,"chronicle of a disappearance unfolds in a series of seemingly unconnected cinematic tableaux, each of them focused on incidents or characters which seldom reappear later in the film. among the many unrelated scenes, there is a palestinian actress struggling to find an apartment in west jerusalem, the owner of the holy land souvenir shop preparing merchandise for incoming japanese tourists, a group of old women gossiping about their relatives, and an israeli police van which screeches to a halt so several heavily armed soldiers can get off the car and urinate.",movie,1996,drama,elia-suleiman,elia-suleiman|ali-suliman|leonid-alexeenko|ula-tabari|jamal-daher|taha-mouhamad-ali|samer-azar|imile-qamou|irena-mistrakov
152,mission: impossible,"when ethan hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the cia, he's surprised to learn that he's the no. 1 suspect. to clear his name, hunt now must ferret out the real double agent and, in the process, even the score.",movie,1996,thriller|action,brian-de-palma,tom-cruise|jon-voight|henry-czerny|emmanuelle-béart|ving-rhames|kristin-scott-thomas|vanessa-redgrave|jean-reno|emilio-estevez|ingeborga-dapkūnaitė|rolf-saxon|marcel-iureș|karel-dobrý|andreas-wisniewski|annabel-mullion|olegar-fedoro|morgan-deare|valentina-yakunina|marek-vašut|nathan-osgood|john-mclaughlin|david-shaeffer|rudolf-pechan|gaston-šubert|ricco-ross|mark-houghton|bob-friend|garrick-hagon|jiřina-třebická|andrzej-borkowski|maya-dokic|sam-douglas|carmela-marner|mimi-potworowska|david-schneider|helen-lindsay|pat-starr|richard-d.-sharp|randall-paul|sue-doucette|graydon-gould|tony-vogel|michael-rogers|laura-brook|david-phelan|melissa-knatchbull|ion-caramitru|dale-dye|keith-campbell|michael-cella|harry-fielder|toby-hinson|john-knoll|paul-markham
153,kenan & kel,"set in chicago, the show follows the kid-friendly misadventures of two high-school friends who are always scheming and dreaming. kenan, who works at a grocery store, constantly devises crazy plans to strike it rich, while orange-soda-loving buddy kel is always dragged along for the ride despite his track record for messing things up.",show,1996,family|comedy,,kenan-thompson|kel-mitchell|vanessa-baden|ken-foree|teal-marchande|dan-frischman
154,gattaca,"in a future society in the era of indefinite eugenics, humans are set on a life course depending on their dna. young vincent freeman is born with a condition that would prevent him from space travel, yet is determined to infiltrate the gattaca space program.",movie,1997,scifi|thriller|romance|drama,andrew-niccol,uma-thurman|ethan-hawke|jude-law|alan-arkin|loren-dean|gore-vidal|tony-shalhoub|ernest-borgnine|blair-underwood|xander-berkeley|jayne-brook|william-lee-scott|una-damon|elias-koteas|maya-rudolph|elizabeth-dennehy|mason-gamble|vincent-nielson|chad-christ|clarence-graham|carlton-benbry|grace-sullivan|ken-marino|cynthia-martells|gabrielle-reece|dean-norris|russell-milton|george-marshall-ruge|steve-bessen|lindsey-ginter|greg-sestero
155,neon genesis evangelion: the end of evangelion,"the second of two theatrically released follow-ups to the neon genesis evangelion series. comprising of two alternate episodes which were first intended to take the place of episodes 25 and 26, this finale answers many of the questions surrounding the series, while also opening up some new possibilities.",movie,1997,action|drama|animation|scifi|fantasy,hideaki-anno|kazuya-tsurumaki,megumi-ogata|megumi-hayashibara|kotono-mitsuishi|yuko-miyamura|fumihiko-tachiki|miki-nagasawa|takehito-koyasu|hiro-yuuki|yuriko-yamaguchi|motomu-kiyokawa|akira-ishida|mugihito
156,pokémon,"join ash accompanied by his partner pikachu, as he travels through many regions, meets new friends and faces new challenges on his quest to become a pokémon master.",show,1997,action|scifi|animation|comedy|fantasy|family,,rica-matsumoto|ikue-otani|daiki-yamashita|kenyu-horiuchi
157,stargate sg-1,"the story of stargate sg-1 begins about a year after the events of the feature film, when the united states government learns that an ancient alien device called the stargate can access a network of such devices on a multitude of planets. sg-1 is an elite air force special operations team, one of more than two dozen teams from earth who explore the galaxy and defend against alien threats such as the goa'uld, replicators, and the ori.",show,1997,scifi|drama|action,,ben-browder|amanda-tapping|christopher-judge|michael-shanks|claudia-black|beau-bridges
158,minsara kanavu,"priya decides that she wants to be a nun, much to the horror of her father and thomas, the boy who is in love with her. thomas decides to enlist the help of deva to change her mind.",movie,1997,comedy|romance|drama,rajiv-menon,arvind-swamy|prabhu-deva|kajol|arundathi-nag|nassar|girish-karnad|s.-p.-balasubramaniam|prakash-raj|ranvir-shah|v.-k.-ramasamy|mohan-raman|rallapalli-narasimha|janaki-sabesh|p.-j.-sarma|rajiv-menon|gautham-vasudev-menon|vikram
159,titanic,"101-year-old rose dewitt bukater tells the story of her life aboard the titanic, 84 years later. a young rose boards the ship with her mother and fiancé. meanwhile, jack dawson and fabrizio de rossi win third-class tickets aboard the ship. rose tells the whole story from titanic's departure through to its death—on its first and last voyage—on april 15, 1912.",movie,1997,drama|romance,james-cameron,kate-winslet|leonardo-dicaprio|billy-zane|gloria-stuart|kathy-bates|frances-fisher|bill-paxton|bernard-hill|david-warner|victor-garber|jonathan-hyde|lewis-abernathy|suzy-amis|nicholas-cascone|danny-nucci|jason-barry|lew-palter|eric-braeden|ewan-stewart|bernard-fox|ioan-gruffudd|jonny-phillips|edward-fletcher|scott-g.-anderson|martin-east|gregory-cooke|alexandrea-owens|seth-adkins|michael-ensign|anatoly-m.-sagalevitch|martin-hub|mark-lindsay-chapman|richard-graham|paul-brightwell|craig-kelly|ron-donachie|charlotte-chatton|fannie-brett|jenette-goldstein|camilla-overbye-roos|linda-kerns|amy-gaipa|martin-jarvis|rosalind-ayres|rochelle-rose|jonathan-evans-jones|rocky-taylor|liam-tuohy|simon-crane|james-lancaster|elsa-raven|reece-p.-thompson-iii|laramie-landis|mark-rafael-truitt|john-walcutt|terry-forrestal|derek-lea|richard-ashton|sean-nepita|brendan-connolly|david-cronnelly|garth-wilton|richard-fox|nick-meaney|kevin-owers|mark-capri|marc-cass|paul-herbert|emmett-james|chris-byrne|oliver-page|james-garrett|erik-holland|jari-kinnunen|anders-falk|barry-dennen|vern-urich|rebecca-klingler|tricia-o'neil|kathleen-s.-dunn|romeo-francis|mandana-marino|van-ling|bjørn-olsen|dan-pettersson|shay-duffin|greg-ellis|diana-morgan|kris-andersson|bobbie-bates|aaron-james-cash|anne-fletcher|edmond-alan-forsyth|andie-hicks|scott-hislop|stan-mazin|lisa-ratzin|julene-renee|brian-walsh|alexandra-boyd|james-cameron|mike-butters|bruno-campolo|kevin-de-la-noy|tony-kenny|sean-lawlor|don-lynch|johnny-martin|ryan-mcclurkin|meghan-mcleod|mike-o'neal|phil-parlapiano|steven-quale|r.-gern-trowbridge|olivia-rosewood|john-slade|brian-mcdermott
160,boogie nights,"set in 1977, back when sex was safe, pleasure was a business and business was booming, idealistic porn producer jack horner aspires to elevate his craft to an art form. horner discovers eddie adams, a hot young talent working as a busboy in a nightclub, and welcomes him into the extended family of movie-makers, misfits and hangers-on that are always around. adams' rise from nobody to a celebrity adult entertainer is meteoric, and soon the whole world seems to know his porn alter ego, ""dirk diggler"". now, when disco and drugs are in vogue, fashion is in flux and the party never seems to stop, adams' dreams of turning sex into stardom are about to collide with cold, hard reality.",movie,1997,drama,paul-thomas-anderson,"mark-wahlberg|julianne-moore|burt-reynolds|don-cheadle|john-c.-reilly|heather-graham|william-h.-macy|luis-guzmán|philip-seymour-hoffman|philip-baker-hall|rico-bueno|nicole-ari-parker|samson-barkhordarian|nina-hartley|alfred-molina|brad-braeden|joanna-gleason|lawrence-hudd|michael-stein|stanley-desantis|patricia-forte|kai-lennox|laurel-holloman|jason-andrews|robert-ridgely|lil'-cinderella|greg-lauren|tom-dorfmeister|jason-""jake""-cross|ricky-jay|jack-wallace|selwyn-emerson-miller|jamielyn-lippman|missy-spell-tanner|raymond-laboriel|melora-walters|jon-brion|brian-kehew|robin-sharp|audrey-wiechman|tim-soronen|michael-jace|alexander-d.-slanger|tom-lenk|lexi-leigh|laura-gronewold|thomas-jane|vernon-guichard-ii|tony-tedeschi|leslie-redden|gregory-t.-daniel|jonathan-quint|michael-penn|don-amendolia|summer-cummings|skye-blue|robert-downey-sr.|veronica-hart|jack-riley|john-doe|channon-roe|mike-gunther|michael-raye-smith|michael-s.-stencil|dustin-courtney|allan-graf|jose-chaidez|b.-philly-johnson|joe-g.m.-chan|goliath|israel-juarbe|george-anthony-rae|eric-winzenried|sharon-ferrol-young|anne-fletcher|scott-fowler|melanie-a.-gage|eddie-garcia|sebastian-la-cause|lance-macdonald|diane-mizota|nathan-prevost|lisa-ratzin|dee-dee-weathers|darrel-w.-wright|michael-ballhaus|greg-bronson|grace-bustos|jorga-caye|tyrone-d.-dixon|theo-mayes|coleman-mcclary|jami-philbrick|misty-tamburelli|sean-welch"
161,starship troopers,"set in the future, the story follows a young soldier named johnny rico and his exploits in the mobile infantry. rico's military career progresses from recruit to non-commissioned officer and finally to officer against the backdrop of an interstellar war between mankind and an arachnoid species known as ""the bugs"".",movie,1997,scifi|action|thriller,paul-verhoeven,casper-van-dien|dina-meyer|denise-richards|jake-busey|neil-patrick-harris|clancy-brown|michael-ironside|patrick-muldoon|seth-gilliam|rue-mcclanahan|blake-lindsley|steven-ford|ungela-brockman|bruce-gray|denise-dowse|amy-smart|tami-adrian-george|julianna-mccarthy|dale-dye|dean-norris|marshall-bell|eric-bruskotter|matt-levin|anthony-ruivivar|brenda-strong|christopher-curry|lenore-kasdorf|teo|curnal-achilles-aulisio|greg-travis|john-cunningham|timothy-mcneil|robert-david-hall|brad-kane|timothy-omundson|patrick-bishop|hunter-bodine|travis-lowen|patrick-wolff|mara-duronslet|tyrone-tann|eric-dare|stephanie-erb|austin-sanderford|rhiannon-vigil|mylin-brooks|armand-darrius|kai-lennox|edward-neumeier|brooke-morales|julie-pinson|mary-ann-schmidt|aaron-stielstra|mike-stokey
162,destiny,"in the 12th century's andalusia lives ibn rushd a prominent islamic philosopher with his wife zeinab and daughter sara. the principality is ruled by khalifa elmansour who has two sons, elnasser, an intellectual that likes ibn rush and is in love with his daughter sara. the younger son abdallah is more into dancing and poetry, spending most of his times with the gypsy family and getting the daughter pregnant. the khalifa is depending on the extremists to build his army granting them more power which they use to combat artists and philosophers. the extremists succeed in recruiting abd allah and train him to kill his father. events go on where marawan, the gypsy singer, is killed and ibn rushd's books are burnt. adapted from the real life of ibn rushd almasir is chahine's statement against extremism.",movie,1997,drama|history|comedy|romance,,nour-el-sherif|layla-olwy
163,vegas vacation,"the griswold family hits the road again for a typically ill-fated vacation, this time to the glitzy mecca of slots and showgirls—las vegas.",movie,1997,comedy,stephen-kessler,chevy-chase|beverly-d'angelo|randy-quaid|ethan-embry|marisol-nichols|miriam-flynn|shae-d'lyn|wayne-newton|wallace-shawn|siegfried-fischbacher|roy-horn|sid-caesar|corinna-harney|christie-brinkley|juliette-brewer|zachariah-moyes|shannah-laumeister-stern|c.c.-costigan|wendy-kaufman|jerry-weintraub|larry-hankin|hayley-mortison|billie-perkins|vanessa-bednar|alana-austin|jeffrey-donovan
164,double team,he's a one-man arsenal... with enough voltage to rock the free world. they don't play by the rules. you're either on their side...or in their way. america's top counter-terrorist usually works alone...this time he's got company.,movie,1997,action|scifi|comedy|thriller,tsui-hark,jean-claude-van-damme|dennis-rodman|mickey-rourke|paul-freeman|natacha-lindinger|valéria-cavalli|jay-benedict|bruno-bilotta|mario-opinato|orso-maria-guerrini|ted-rusoff|umberto-raho|xiong-xin-xin|angelo-ragusa|ottaviano-dell'acqua|paolo-calissano|joelle-devaux-vullion|grant-russell|william-dunn|asher-tzarfati|rob-diem|ken-samuels|sandy-welsh|jessica-forde|malick-bowens|dominic-gould|frederick-renard|cyrille-dufaut|eric-gauchy|patrick-cauderlier|hans-meyer|jesse-joe-walsh|peter-nelson|pascal-lopez|dominique-fouassier|paolo-paoloni|jean-pierre-stewart|adam-kaci|pascaline-girardot|nathalie-grac|sigal-diamant|gabriella-d'olive|nick-brett
165,spawn,"after being murdered by corrupt colleagues in a covert government agency, al simmons makes a pact with the devil to be resurrected to see his beloved wife wanda. in exchange for his return to earth, simmons agrees to lead hell's army in the destruction of mankind.",movie,1997,scifi|action|drama|horror,mark-a.z.-dippé,michael-jai-white|martin-sheen|john-leguizamo|theresa-randle|nicol-williamson|d.b.-sweeney|melinda-clarke|miko-hughes|sydni-beaudoin|michael-papajohn|frank-welker|tony-haney|todd-mcfarlane|john-koyama|simon-rhee|roger-yuan|al-goto|robia-lamorte
166,anaconda,"a ""national geographic"" film crew is taken hostage by an insane hunter, who takes them along on his quest to capture the world's largest - and deadliest - snake.",movie,1997,horror|thriller|action,luis-llosa,jennifer-lopez|ice-cube|jon-voight|eric-stoltz|jonathan-hyde|owen-wilson|kari-wuhrer|vincent-castellanos|danny-trejo|frank-welker
167,donnie brasco,an fbi undercover agent infilitrates the mob and finds himself identifying more with the mafia life at the expense of his regular one.,movie,1997,drama|thriller|crime,mike-newell,johnny-depp|al-pacino|michael-madsen|bruno-kirby|james-russo|anne-heche|zeljko-ivanek|brian-tarantina|rocco-sisto|zach-grenier|gerry-becker|robert-miano|paul-giamatti|gretchen-mol|tim-blake-nelson|walt-macpherson|ronnie-farer|terry-serpico|tony-lip|george-angelica|val-avery|madison-arnold|delanie-fitzpatrick|katie-sagona|sara-gold|larry-romano|james-mccauley|james-bulleit|andrew-parks|keenan-shimizu|rocco-musacchia|joe-francis|sal-jenco|billy-capucilli|laura-cahill|doreen-murphy|elle-alexander|denise-faye|elaine-del-valle|john-horton|dan-brennan|lajuan-carter|sandy-barber|joyce-stovall|frank-pesce|randy-jurgensen|john-di-benedetto|richard-zavaglia|tony-ray-rossi|edward-black|gaetano-logiudice|carmelo-musacchia|pat-vecchio|caleb|flint-beverage|frank-bonsangue|mark-todd-bruner|teresa-giudice|barry-hirschberg|jim-lavin|peter-o'hara|antone-pagán|garry-pastore|dale-resteghini|larry-tobias
168,the devil's own,"frankie mcguire, one of the ira's deadliest assassins, draws an american family into the crossfire of terrorism. but when he is sent to the u.s. to buy weapons, frankie is housed with the family of tom o'meara, a new york cop who knows nothing about frankie's real identity. their surprising friendship, and tom's growing suspicions, forces frankie to choose between the promise of peace or a lifetime of murder.",movie,1997,crime|thriller|drama|action|european,alan-j.-pakula,harrison-ford|brad-pitt|rubén-blades|treat-williams|natascha-mcelhone|margaret-colin|kelly-singer|ashley-carin|julia-stiles|simon-jones|george-hearn|mitchell-ryan|paul-ronan|david-o'hara|david-wilmot|rob-mcelhenney|chance-kelly|wilson-cleveland|anthony-brophy|shane-dunne|gabrielle-reidy|baxter-harris|hassan-johnson|scott-nicholson|sixto-ramos|mya-michaels|brendan-kelly|kevin-nagle|gregory-salata|joseph-p.-dandry|jack-mckillop|mac-orange|malachy-mccourt|marian-tomas-griffin|peggy-shay|ciarán-o'reilly|donald-j.-meade|patrick-reynolds|peter-rufli|debbon-ayer|mario-polit|william-paulson|bill-hoag|victor-slezak|damien-leake
169,seven years in tibet,"austrian mountaineer, heinrich harrer journeys to the himalayas without his family to head an expedition in 1939. but when world war ii breaks out, the arrogant harrer falls into allied forces' hands as a prisoner of war. he escapes with a fellow detainee and makes his way to llaso, tibet, where he meets the 14-year-old dalai lama, whose friendship ultimately transforms his outlook on life.",movie,1997,action|drama|history|war,jean-jacques-annaud,brad-pitt|jamyang-jamtsho-wangchuk|david-thewlis|bd-wong|mako|lhakpa-tsamchoe|ingeborga-dapkūnaitė|duncan-fraser|danny-denzongpa|victor-wong|jetsun-pema|ama-ashe-dongtse|sonam-wangchuk|ric-young|ngawang-chojor|benedick-blythe|tom-raudaschl|wolfgang-tonninger|samdup-dhargyal|chemchok|tenzin-jangchub|angphurba-sherpa|tsering-wangdue|yama-ngudup-cheshatsang|kalsang-dhundop-lungtok|sonam-bidhartsang|lama-champa-tsondu|geshe-lobsang-nyma|geshe-yeshi-tsultrim|lama-champa-chandu|pemba-norbu-sherpa|karma-apo-tsang|ngawang-tenzingyatso|choeden-tsering|lama-jampa-lekshe|lama-thupten-nugdup|sebastian-zevalia|philipp-kriechbaum|lobsang-gendun-rinpoche|tenzin-gyaltsen-rinpoche|sharpa-tulku-rinpoche|zongra-tulku-rinpoche
170,kuch kuch hota hai,"anjali is left heartbroken when her best friend and secret crush, rahul, falls in love with tina. years later, tina's young daughter tries to fulfil her mother's last wish of uniting rahul and anjali.",movie,1998,romance|comedy|drama,karan-johar,shah-rukh-khan|kajol|rani-mukerji|salman-khan|farida-jalal|archana-puran-singh|himani-shivpuri|johnny-lever|anupam-kher|reema-lagoo|sana-saeed|parzaan-dastur|neelam-kothari|geeta-kapoor|farah-khan|manish-malhotra|nikkhil-advani
171,yu-gi-oh!,"a timid young boy who loves all sorts of games, one day solves an ancient puzzle known as the millennium puzzle, causing his body to play host to a mysterious spirit with the personality of a gambler.",show,1998,scifi|action|family|fantasy|animation|comedy|drama,,megumi-ogata|toshiyuki-morikawa|hikaru-midorikawa|yumi-kakazu|ryotaro-okiayu|tsutomu-kashiwakura|kaneto-shiozawa|katsue-miwa|yukana|takeshi-aono|michiko-neya|ryou-naitou
172,west beirut,"in april, 1975, civil war breaks out; beirut is partitioned along a moslem-christian line. tarek is in high school, making super 8 movies with his friend, omar. at first the war is a lark: school has closed, the violence is fascinating, getting from west to east is a game. his mother wants to leave; his father refuses. tarek spends time with may, a christian, orphaned and living in his building. by accident, tarek goes to an infamous brothel in the war-torn olive quarter, meeting its legendary madam, oum walid. he then takes omar and may there using her underwear as a white flag for safe passage. family tensions rise. as he comes of age, the war moves inexorably from adventure to tragedy.",movie,1998,romance|drama|comedy|war|european,ziad-doueiri,rami-doueiri|naamar-sahli|mohamad-chamas|rola-al-amin|carmen-lebbos|carmen-lebbos|liliane-nemri|leïla-karam|mahmoud-mabsout|hassan-farhat|fadi-abou-khalil
173,croupier,"jack manfred is an aspiring writer who to make ends meet, takes a job as a croupier. jack remains an observer, knowing that everything in life is a gamble and that gamblers are born to lose. inevitably, he gets sucked into the world of the casino which takes its toll on his relationships and the novel he is writing.",movie,1998,drama|european|crime,mike-hodges,clive-owen|kate-hardie|alex-kingston|gina-mckee|nicholas-ball|alexander-morton|paul-reynolds|nick-reding|barnaby-kay|rhona-mitra|ozzie-yue|john-radcliffe|sheila-whitfield
174,monty python: live at aspen,"in march 1998 in aspen, colorado, the surviving members of the monty paython team - john cleese, terry gilliam, eric idle, terry jones and michael palin - shared a stage together for the first time in 18 years. even more remarkably, graham chapman was there too....in an urn! the occasion for this renuion was the us comedy arts festival tribute to monty python, hosted by robert klien in front of a live audience.",movie,1998,comedy|documentation,paul-miller,robert-klein|john-cleese|terry-gilliam|eric-idle|terry-jones|michael-palin|eddie-izzard|graham-chapman|cathleen-summers|matt-stone|ted-danson|george-wendt|rhea-perlman|john-ratzenberger
175,duplicate,"seeking vengeance on those who double-crossed him, an escaped prisoner impersonates an unsuspecting chef.",movie,1998,comedy|action|crime|thriller,mahesh-bhatt,shah-rukh-khan|juhi-chawla|sonali-bendre|mohnish-behl|tiku-talsania|sharat-saxena|gulshan-grover|kajol|vishwajeet-pradhan|farida-jalal
176,cowboy bebop,"in 2071, roughly fifty years after an accident with a hyperspace gateway made the earth almost uninhabitable, humanity has colonized most of the rocky planets and moons of the solar system. amid a rising crime rate, the inter solar system police (issp) set up a legalized contract system, in which registered bounty hunters (also referred to as ""cowboys"") chase criminals and bring them in alive in return for a reward.",show,1998,animation|action|scifi|western|comedy|drama|thriller,,koichi-yamadera|unsho-ishizuka|megumi-hayashibara|aoi-tada
177,cardcaptor sakura,"sakura kinomoto, an elementary school student who discovers that she possesses magical powers after accidentally freeing a set of magical cards from the book they had been sealed in for years. she is then tasked with retrieving those cards in order to avoid an unknown catastrophe from befalling the world.",show,1998,scifi|animation|action|comedy|drama|family|fantasy|romance,,sakura-tange|junko-iwao|motoko-kumai|aya-hisakawa|emi-shinohara|hideyuki-tanaka|masaya-onosaka|megumi-ogata|tomokazu-seki|yukana|tomoko-kawakami|nozomu-sasaki
178,you've got mail,"book superstore magnate, joe fox and independent book shop owner, kathleen kelly fall in love in the anonymity of the internet—both blissfully unaware that he's trying to put her out of business.",movie,1998,comedy|romance|drama,nora-ephron,tom-hanks|meg-ryan|greg-kinnear|parker-posey|steve-zahn|dave-chappelle|dabney-coleman|jean-stapleton|heather-burns|john-randolph|hallee-hirsh|jeffrey-scaperrotta|cara-seymour|katie-finneran|michael-badalucco|deborah-rush|veanne-cox|bruce-jay-friedman|sara-ramirez|howard-spiegel|diane-sokolow|julie-kass|reiko-aylesworth|katie-sagona|kathryn-meisle|nina-zoie-lam|maggie-murphy|michelle-blakely|meredith-white|dianne-dreyer|julie-galdieri|leila-nichols|mary-a.-kelly|chris-messina|ronobir-lahiri|andré-sogliuzzo|richard-cohen|nick-brown|ann-fleuchaus|neil-bonin|bill-mchugh|santiago-quinones|lynn-grossman|dolores-sirianni|nicole-bernadette|jane-adams|cecelia-antoinette|alfonso-gomez-rejon|gideon-jacobs|brick-mason|scott-mullin|logan-steinhardt|anthony-welch
179,jeans,"vishu and ramu are a pair of indian twins living in america with their father, rajamani. when madhumita (aishwarya rai) and her brother come to america to get medical treatment for their ailing grandmother, vishu and ramu end up meeting them at the airport. vishu falls in love with madhumita, and the couple has everyone's blessing, except for rajamani, who is estranged from his own twin brother. he only wants his sons to marry twin sisters, so madhumita pretends to have a twin in order to please him. as madhumita puts on a charade by creating vaishnavi, all goes well, until ramu falls in love with vaishnavi. now the truth must come out, before madhumita has to marry both of rajamani's twin sons.",movie,1998,comedy|drama|romance,shankar,prashanth-thyagarajan|aishwarya-rai-bachchan|nassar|lakshmi|raju-sundaram|radhika-sarathkumar|senthil|s.ve.-sekar|janaki-sabesh|geetha|s.-n.-lakshmi|ganthimathi
180,vampires,the church enlists a team of vampire-hunters to hunt down and destroy a group of vampires searching for an ancient relic that will allow them to exist in sunlight.,movie,1998,fantasy|action|horror|thriller,john-carpenter,james-woods|daniel-baldwin|sheryl-lee|thomas-ian-griffith|maximilian-schell|tim-guinee|mark-boone-junior|gregory-sierra|cary-hiroyuki-tagawa|thomas-rosales-jr.|clarke-coleman|mark-sivertsen|henry-kingi|david-rowden|john-furlong|dennis-e.-garber|jimmy-ortega|anita-hart|troy-robinson|chad-stahelski|marjean-holden
181,sinbad: nothin' but the funk,"enjoy comedic superstar sinbad as he gives us one of his most stellar stand up performances, shot on the beautiful island of aruba at the guillermo p. trinidad theatre. as always, sinbad shows why he’s a veteran in comedy since the 80’s, with an entertaining show that the entire family can enjoy.",movie,1998,comedy|documentation,chuck-vinson,sinbad
182,soldier,the story follows a young man (bobby deol) who flees india and arrives in australia seeking vengence for something that started in india. in australia he meets and falls in love with the daughter of a rich and powerful man(suresh oberoi). the story keeps the covers on bobby deols plan until the end when everything is revealed as to why he is a soldier.,movie,1998,thriller|action|drama|romance,abbas-alibhai-burmawalla|mastan-alibhai-burmawalla,bobby-deol|preity-zinta|sharat-saxena|rakhee-gulzar|suresh-oberoi|ashish-vidhyarthi|dalip-tahil|pankaj-dheer|farida-jalal|salim-ghouse|kulbhushan-kharbanda|narendra-bedi|sheetal-suvarna|jeetu-verma
183,the players club,"single mother diana struggles to provide for her child and pay for her college education. when she meets two dancers from a nearby gentlemen's club, diana's convinced there's fast money to be made stripping.",movie,1998,comedy|drama,ice-cube,lisaraye-mccoy|bernie-mac|jamie-foxx|ice-cube|terrence-howard|michael-clarke-duncan|monica-calhoun|faizon-love|dick-anthony-williams|judyann-elder|chrystale-wilson|adele-givens|anthony-johnson|jimmy-woodard|montae-russell|oren-williams|jossie-thacker|lalanya-masters|ursula-y.-houston|annie-o'donnell|satari|tracey-cherelle-jones|bettina-rae|charlie-murphy|larry-mccoy|alex-thomas|badja-djola|john-amos|ronn-riser|big-boy|tom-'tiny'-lister-jr.|greg-mcdonald|brett-wagner|kenya-williams|nigel-thatch|luther-campbell|samuel-monroe-jr.|keith-burke|ski-carr|annette-young|master-p
184,the last days,"five jewish hungarians, now u.s. citizens, tell their stories: before march, 1944, when nazis began to exterminate hungarian jews, months in concentration camps, and visiting childhood homes more than 50 years later. an historian, a sonderkommando, a doctor who experimented on auschwitz prisoners, and us soldiers who were part of the liberation in april, 1945.",movie,1998,drama|history|war|documentation,james-moll,bill-basch|martin-basch|randolph-braham|tom-lantos|alice-lok-cahana|irene-zisblatt
185,one last shot,"in this low-budget short film, two best buddies meet up for a night of booze-fueled fun before one of them moves to vancouver.",movie,1998,,mike-clattenburg,robb-wells|john-paul-tremblay|john-dunsworth
186,h,"h is a french sitcom with seventy-one, 22-minute episodes. the series was created by kader aoun, xavier matthieu and éric judor, and produced by phillippe berthe, édouard molinaro, jean-luc moreau and charles némès. it ran from 24 october 1998 to 20 april 2002 on canal+. in canada, it is shown weekly on tv5.

the title ""h"" comes from the three words that characterize the series: humour, histoire et hôpital.",show,1998,comedy,,eric-judor|ramzy-bedia|sophie-mounicot|jamel-debbouze|catherine-benguigui|jean-luc-bideau
187,jerry seinfeld: i'm telling you for the last time,"taped for hbo in august 1998, on the final date of jerry seinfeld's tour appearances at new york city's broadhurst theater, i'm telling you for the last time presents the standup comedian's so-called ""final"" standup, or at least his final tour with the standup material that made him famous.",movie,1998,comedy|documentation,marty-callner,jerry-seinfeld|michael-barryte|grace-bustos|george-carlin|alan-king|robert-klein|carol-leifer|jay-leno|ed-mcmahon|larry-miller|paul-reiser|garry-shandling|george-wallace
188,dil se..,"journalist amar falls for a mysterious woman on an assignment, but she does not reciprocate his feelings. however, when amar is about to get married, the woman shows up at his doorstep asking for help.",movie,1998,drama|romance,mani-ratnam,shah-rukh-khan|manisha-koirala|preity-zinta|mita-vasisht|arundathi-nag|raghubir-yadav|zohra-sehgal|janagaraj|sabyasachi-chakraborty|aditya-srivastava|sanjay-mishra|anupam-shyam|krisn-kant|manjit-bawa|sheeba-chaddha|piyush-mishra|gajraj-rao|priya-parulekar|malaika-arora|tigmanshu-dhulia|shaad-ali|wasiq-khan|vikram-gokhale|deepak-shirke|mohan-joshi|raza-murad|hemant-mishra|vanitha-malik|sameer-chanda|b-chintu-mohapatra|karan-nath|r-k-nair|alka|rajiv-gupta|avtar-sahani|suhail-nayyar|ishitha
189,u.s. marshals,"u.s. marshal sam gerard is accompanying a plane load of convicts from chicago to new york. the plane crashes spectacularly, and mark sheridan escapes. but when diplomatic security agent john royce is assigned to help gerard recapture sheridan, it becomes clear that sheridan is more than just another murderer.",movie,1998,thriller|crime|action,stuart-baird,tommy-lee-jones|wesley-snipes|robert-downey-jr.|joe-pantoliano|daniel-roebuck|tom-wood|latanya-richardson-jackson|irène-jacob|kate-nelligan|patrick-malahide|rick-snyder|michael-paul-chan|johnny-lee-davenport|donald-li|marc-vann|richard-lexsee|tony-fitzpatrick|vaitiare-hirshon|donald-gibb|karen-vaccaro|len-bajenski|matt-decaro|thomas-rosales-jr.|james-sie|tracy-letts|rose-abdoo|lorenzo-clemons|meg-thalken|lennox-brown|ammar-daraiseh|romanos-isaac|ray-toler|brenda-pickleman|eddie-j.-fernandez|spitfire-brown
190,edge of seventeen,"from toni basil to the eurythmics, from friendship bracelets to whip-it's, the summer of 1984 was about as 80s as the 80s ever got. stuck right in the middle of it is eric hunter, heading towards his senior year, and passing the summer working at a local amusement park in the fast food restaurant. he is joined by his long time girl/friend maggie, as they don their ugly brown polyester uniforms and face the world.",movie,1998,romance|drama|comedy,david-moreton,chris-stafford|tina-holmes|andersen-gabrych|john-eby|stephanie-mcvay|lea-delaria|antonio-carriero|jason-lockhart|tony-maietta|jeff-fryer|kevin-joseph-kelly|mark-gates|stevie-reese-desmond|barbie-marie|craig-h.-shepherd|doug-million|clay-van-sickle|jimmy-mack|justin-leach|jeffrey-abramson|don-mitri|mike-roth|adam-penton|tal-ben-david|dina-ansden|karen-brooks|shannon-constantine|edd-martin|gregg-long|ryan-florio|twiggy-morgan|frank-klingshin|dominic-carrion|khalid-abdelrasoul|sally-law|jarred-j.-nichols|jay-warshak|diva-delaria-foley|jason-griffith
