id,title,description,type,release_year,genres,directors,actors
3158,the millions,"bem is the ultimate guy. with good looks, sweet mouth and with an intellect that can only be rivaled by his humour. when bem is approached by an old friend, wole baba, about a job, his first thought is to walk away as he fears the heat that will come with such job. the job is simple enough; there is a stack of forty-two million dollars hidden away in an apartment owned by an unknown politician. if bem can move the money, he can keep it but for a large chunk that goes to his contact as finder's fee. but when the dangerous man he duped earlier threatens his life, he decides to give it a shot. he reunites with his former partner, jerome, who left the game after marriage and they both start to plan what could possibly be the greatest heist the country has ever witnessed. after several impossible suggestions, bem and jerome come up with a dicey plan. they start to navigate the several problems they could encounter and what was supposed to be a two man job turned to a six man job with every single one of them having an ulterior motive of being on the job.",movie,2019,comedy|crime|thriller|drama,tunde-apalowo,toyin-abraham|blossom-chukwujekwu|etinosa-idemudia|ayo-makun|chika-lann|ramsey-nouah|ali-nuhu|broda-shaggi|energy-uloko
3159,yanxi palace: princess adventures,a determined qing dynasty princess contends with palace intrigue and a vendetta against her family while navigating the treacherous terrain of romance.,show,2019,drama,,wang-herun|xu-xiaonuo|wang-yizhe|wang-yuwei|wu-jinyan|nie-yuan
3160,twelve forever,reggie's dream is to be a kid forever. her dream is so powerful that it creates its own fantasy world of perpetual youth.,show,2019,family|fantasy|animation|action|comedy,,kelsy-abbott|jaylen-barron|antony-del-rio|spencer-rothbell|wade-randolph
3161,three thieves,"due to a case of mistaken identity, three dissatisfied friends are contracted to commit a seemingly simple theft. even worse, the man originally contracted for the job is on the hunt for them.",movie,2019,comedy,udoka-oyeka,shawn-faqua|koye-kekere-ekun|frank-donga|eric-obinna|enado-odigie|angel-unigwe|shaffy-bello-akinrimisi|lucianne-akpabio|kalu-ikeagwu|wofai-egu-ewa
3162,it takes a lunatic,"the extraordinary life of beloved acting teacher and theatre producer wynn handman is recalled in this portrait of a provocative, innovative artist.",movie,2019,documentation|drama,billy-lyons,wynn-handman|richard-gere|alec-baldwin|lauren-graham|james-caan|aasif-mandvi|andré-bishop|michael-douglas|susan-lucci|eric-bogosian|john-leguizamo|chris-cooper|joel-grey|marianne-leone-cooper|frank-langella|bill-irwin|randall-duk-kim
3163,a kid from coney island,"feature documentary about the rise and fall, and rebirth of ex-nba star, stephon marbury.",movie,2019,documentation|sport,coodie-simmons|chike-ozah,stephon-marbury|ronald-stewart
3164,dragon quest: your story,luca follows in his father's footsteps to rescue his mother from evil ladja. finding the heavenly hero who wields the zenithian sword is his only hope.,movie,2019,action|fantasy|animation|family|comedy,ryuichi-yagi|takashi-yamazaki,takeru-satoh|kasumi-arimura|haru|kentaro-sakaguchi|takayuki-yamada|kendo-kobayashi|ken-yasuda|suzuki-matsuo|koichi-yamadera|chikako-kaku|arata-furuta|kotaro-yoshida|arata-iura
3165,jinn,the lives of a group of teenagers are disrupted when a spiritual figure appears in front of them in the ancient city of petra. they must try and stop jinn from destroying the world.,show,2019,drama|scifi|horror|fantasy|thriller,mir-jean-bou-chaaya,karam-tabbaa|salma-malhas|sultan-alkhail|hamzeh-okab|aysha-shahaltough|ban-halaweh|yasser-al-hadi|mohammad-nizar|mohammad-hindieh|faris-al-bahri|zaid-zoubi|hana-chamoun|anouar-h.-smaine
3166,bard of blood,"political espionage thriller based on ""bard of blood,"" by bilal siddiqi.",show,2019,action|drama|thriller,ribhu-dasgupta,emraan-hashmi|sobhita-dhulipala|shishir-sharma|danish-husain
3167,simon amstell: set free,"comedies honest, introspective comic simon amstell digs deep and delivers a uniquely vulnerable stand-up set on love, ego, intimacy and ayahuasca.",movie,2019,comedy,julia-knowles,simon-amstell
